season,week,n_qualifying_legs,n_top_legs,n_tickets,n_positive_ev,n_selected,max_leg_exposure,units,wins,week_profit_loss,block,scenario,procedure,american_2team,american_3team
2018,11,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,15,5,4,10,6,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,16,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,17,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,1,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,3,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,4,3,3,4,2,2,2,2.0,1,-0.16666666666666663,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,7,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,11,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,13,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,16,3,3,4,2,2,2,2.0,0,-2.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
